charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
ASPCA,Edwin Sayres,144738187,2011,Animals,NY,30624168,51231219,753,614585,0,1866,2003,male,Sonoma State University,M.A.,,,NY,Animals,M.A.,male,614585,145,8,0
ASPCA,Edwin Sayres,137616740,2012,Animals,NY,31287839,60424407,811,641521,0,1866,2003,male,Sonoma State University,M.A.,,,NY,Animals,M.A.,male,641521,146,9,0
ASPCA,Edwin Sayres,111344562,2010,Animals,NY,25768307,45500775,676,555824,0,1866,2003,male,Sonoma State University,M.A.,,,NY,Animals,M.A.,male,555824,144,7,0
Canine Companions for Independence,John Corey Hudson,22585335,2014,Animals,CA,4684071,11769032,226,214849,22665,1975,1990,male,Sonoma State University,M.Ed.,,,CA,Animals,M.Ed.,male,237514,39,24,0
Canine Companions for Independence,John Corey Hudson,21704066,2015,Animals,CA,5084097,12245337,255,126064,11249,1975,1990,male,Sonoma State University,M.Ed.,,,CA,Animals,M.Ed.,male,137313,40,25,0
Canine Companions for Independence,John Corey Hudson,18410352,2013,Animals,CA,2809776,10334767,225,232810,0,1975,1990,male,Sonoma State University,M.Ed.,,,CA,Animals,M.Ed.,male,232810,38,23,0
Canine Companions for Independence,John Corey Hudson,14452207,2012,Animals,CA,2536716,9628144,222,215060,21859,1975,1990,male,Sonoma State University,M.Ed.,,,CA,Animals,M.Ed.,male,236919,37,22,0
Canine Companions for Independence,John Corey Hudson,14194389,2011,Animals,CA,2242790,9348781,209,224204,20680,1975,1990,male,Sonoma State University,M.Ed.,,,CA,Animals,M.Ed.,male,244884,36,21,0
The ALS Association,Barbara J. Newhouse,23487328,2016,Health,DC,4611138,7018063,79,322705,0,1985,2014,female,Briar Cliff University,MHA,,,DC,Health,MHA,female,322705,31,2,0
National Wild Turkey Federation,George C. Thornton,39297534,2014,Animals,SC,842954,12917883,317,376851,47389,1973,2008,male,Fairleigh Dickinson University,MBA,,,SC,Animals,MBA,male,424240,41,6,0
National Wild Turkey Federation,George C. Thornton,35099037,2012,Animals,SC,752764,9885598,313,288364,14657,1973,2008,male,Fairleigh Dickinson University,MBA,,,SC,Animals,MBA,male,303021,39,4,0
National Wild Turkey Federation,George C. Thornton,34077445,2013,Animals,SC,699791,10898516,313,318317,42800,1973,2008,male,Fairleigh Dickinson University,MBA,,,SC,Animals,MBA,male,361117,40,5,0
National Wild Turkey Federation,George C. Thornton,33680879,2011,Animals,SC,735728,10556145,313,302681,30191,1973,2008,male,Fairleigh Dickinson University,MBA,,,SC,Animals,MBA,male,332872,38,3,0
National Wild Turkey Federation,George C. Thornton,33209785,2010,Animals,SC,735408,9731324,326,288694,14436,1973,2008,male,Fairleigh Dickinson University,MBA,,,SC,Animals,MBA,male,303130,37,2,0
The Arbor Day Foundation,Matt Harris,29705785,2014,Environment,NE,3427673,12148323,551,290401,0,1972,2014,male,Nebraska Wesleyan University,B.S.,,,NE,Environment,B.S.,male,290401,42,0,0
Arts and Science Council,Robert E. Bush Jr.,13258068,2013,Arts & Culture,NC,1292948,2298510,55,149211,14638,1958,2013,male,Appalachian State University,M.A.,,,NC,Arts & Culture,M.A.,male,163849,55,0,0
Arts and Science Council,Robert E. Bush Jr.,10937706,2014,Arts & Culture,NC,1326486,2660113,48,206995,17798,1958,2013,male,Appalachian State University,M.A.,,,NC,Arts & Culture,M.A.,male,224793,56,1,0
Atlanta Habitat for Humanity,Larrie Del Martin,11673186,2012,Community Development,GA,901693,1697776,49,171336,11764,1983,1998,female,Georgia State University,M.A.,,,GA,Community Development,M.A.,female,183100,29,14,0
Atlanta Habitat for Humanity,Larrie Del Martin,9024395,2013,Community Development,GA,846626,2116005,57,193015,10229,1983,1998,female,Georgia State University,M.A.,,,GA,Community Development,M.A.,female,203244,30,15,0
Atlanta Habitat for Humanity,Larrie Del Martin,8627861,2014,Community Development,GA,810175,2352252,63,205617,11137,1983,1998,female,Georgia State University,M.A.,,,GA,Community Development,M.A.,female,216754,31,16,0
Atlanta Habitat for Humanity,Larrie Del Martin,6518937,2011,Community Development,GA,692741,1649394,52,175925,11206,1983,1998,female,Georgia State University,M.A.,,,GA,Community Development,M.A.,female,187131,28,13,0
Atlanta Habitat for Humanity,Larrie Del Martin,5775946,2010,Community Development,GA,494771,1521657,49,158082,10685,1983,1998,female,Georgia State University,M.A.,,,GA,Community Development,M.A.,female,168767,27,12,0
Armed Services YMCA,Mike Landers,9330079,2014,Human Services,IL,145018,1302323,14,261913,0,1983,1999,male,Industrial College of the Armed Forces,M.S.,,,IL,Human Services,M.S.,male,261913,31,15,0
Armed Services YMCA,Mike Landers,4406940,2011,Human Services,IL,89059,1109788,19,251729,0,1983,1999,male,Industrial College of the Armed Forces,M.S.,,,IL,Human Services,M.S.,male,251729,28,12,0
Armed Services YMCA,Mike Landers,4387892,2013,Human Services,IL,115361,1314361,16,299117,0,1983,1999,male,Industrial College of the Armed Forces,M.S.,,,IL,Human Services,M.S.,male,299117,30,14,0
Armed Services YMCA,Mike Landers,4309248,2012,Human Services,IL,83856,1205081,18,276555,0,1983,1999,male,Industrial College of the Armed Forces,M.S.,,,IL,Human Services,M.S.,male,276555,29,13,0
CDC Foundation,Charles Stokes,144054084,2014,Health,GA,2243263,10188818,140,490780,0,1995,1995,male,Lincoln University,M.Ed.,,,GA,Health,M.Ed.,male,490780,19,19,1
CDC Foundation,Charles Stokes,42595150,2013,Health,GA,1616580,5032823,50,445522,0,1995,1995,male,Lincoln University,M.Ed.,,,GA,Health,M.Ed.,male,445522,18,18,1
